customer_id,total_spent,spending_tier
zIuFaia96Pe8,2106.55,Medium Spender
lvc9iV4mlHD1,2105.57,Medium Spender
fShUHiIuHSqx,2105.57,Medium Spender
wFbezvZ2B5Kj,2098.4,Medium Spender
45IfdLiws0AF,2098.4,Medium Spender
knDVKM1Dk90K,2096.14,Medium Spender
R2PuGPnu5gyO,2096.14,Medium Spender
61Fo07V4l8yo,2094.44,Medium Spender
1OKcHmRsMCL6,2094.44,Medium Spender
zD0vhwtYtLUO,2092.86,Medium Spender
5unsLrghjVTB,2092.86,Medium Spender
V9sdv1O4Klks,2091.33,Medium Spender
A7WEMMnrhaF0,2091.33,Medium Spender
5tzTGn3grGsl,2091.33,Medium Spender
4y5lSz3qSPbH,2091.33,Medium Spender
kS6PYEAx1Zzm,2083.09,Medium Spender
ssyeL7ZbIvLk,2082.36,Medium Spender
xfDz2ImEfZnJ,2075.48,Medium Spender
Zxe44U6pKvxr,2075.48,Medium Spender
Z7yTdVeUWMDW,2075.48,Medium Spender
T9ESvmCbgTgG,2075.48,Medium Spender
EtiWoKQbybSW,2075.48,Medium Spender
tS1Ft9fjbKK9,2073.25,Medium Spender
qVHhm9E0Xqh1,2073.25,Medium Spender
pJj2pk9Blkq9,2073.25,Medium Spender
mu5iID3Ye2v7,2073.25,Medium Spender
lDaBjFIQzqsb,2073.25,Medium Spender
kc78UrDJzwPo,2073.25,Medium Spender
ffnQpxYCfR7x,2073.25,Medium Spender
fc9nYaM15XLs,2073.25,Medium Spender
aaJQVOK3SyTn,2073.25,Medium Spender
YK6PlAkWb0YU,2073.25,Medium Spender
XHzJ8E5TMKJ6,2073.25,Medium Spender
RwH0IodqHuy4,2073.25,Medium Spender
NlXPMmdXObBs,2073.25,Medium Spender
M0vF9Ydog7dO,2073.25,Medium Spender
IcUg9ypFteGi,2073.25,Medium Spender
Cx3oIFCnvwOu,2073.25,Medium Spender
CBtZzqa6Ikey,2073.25,Medium Spender
9m7nZGFn4PmC,2073.25,Medium Spender
8iTSkvms08gK,2073.25,Medium Spender
5w4Ti64w3MKc,2073.25,Medium Spender
18CJ0ulgH7ai,2073.25,Medium Spender
BNHPPHnm0dzo,2067.42,Medium Spender
xG19tXjP5oU3,2065.77,Medium Spender
jBUrzt0Mt06j,2065.77,Medium Spender
O2cjHr7hYvtq,2065.77,Medium Spender
RtkfRlprXmzs,2065.35,Medium Spender
q2Dp6KjI24rN,2064.88,Medium Spender
p2fd7yCcKuxP,2064.88,Medium Spender
hMU0Oanyp6tC,2064.88,Medium Spender
tklNGykHfzQl,2060.51,Medium Spender
avl7faPf3gBR,2060.51,Medium Spender
RgsHAAWYxH4g,2060.51,Medium Spender
JxX6NOxRSg0a,2060.51,Medium Spender
BbF91vOnyI1y,2060.51,Medium Spender
44LK77F7cc6w,2060.51,Medium Spender
3SoA5EoWTNaT,2060.51,Medium Spender
13cELnuVbAfb,2060.51,Medium Spender
xpJy11CW7tu0,2060.2,Medium Spender
ZXT5ZOaqUEG9,2060.2,Medium Spender
7VhuNxFVYD9t,2060.2,Medium Spender
bywKBs6SVo2Y,2055.84,Medium Spender
WZnzrEIGD0l4,2055.84,Medium Spender
F9oiw7OlouWN,2055.84,Medium Spender
0yYvoVXpPFlh,2055.84,Medium Spender
0OteAHlnzzQE,2055.84,Medium Spender
rHiRV2bWvgga,2045.47,Medium Spender
qZHFmmpwBHad,2045.47,Medium Spender
nzAkS9meIvgg,2045.47,Medium Spender
guC36oOJmZMA,2045.47,Medium Spender
XsNJYeMCqjnx,2045.47,Medium Spender
RRX9wI4o2SLE,2045.47,Medium Spender
LoQZdLgSUZd0,2045.47,Medium Spender
57eWZOx2MEbG,2045.47,Medium Spender
Y7ue4ZES8Vf2,2039.31,Medium Spender
PeLX49sEhb1V,2039.31,Medium Spender
6meec8LUNR12,2039.31,Medium Spender
DYTbqvAVcoSD,2039.2,Medium Spender
i9PhBDW15ail,2036.86,Medium Spender
50eawYS4QA3S,2036.04,Medium Spender
qMfikjuBoFfo,2035.86,Medium Spender
VWA6Tqzo6jDU,2035.86,Medium Spender
NZ8acvTMxCaa,2035.86,Medium Spender
2qZHCfioJ9AS,2035.86,Medium Spender
vf7AuafGuRia,2034.31,Medium Spender
lLoUB22Sv2KA,2034.31,Medium Spender
UivWxN2aBKeg,2034.31,Medium Spender
RwArI5y9MN7r,2033.48,Medium Spender
zMi7isjbVPQO,2032.04,Medium Spender
sKVTR6Y3NAN5,2032.04,Medium Spender
rhgDQP8tit4p,2032.04,Medium Spender
nkytCUbZbeYa,2032.04,Medium Spender
keCf6dBORjmc,2032.04,Medium Spender
hylcIOjkdTRu,2032.04,Medium Spender
exyvtlNF0bpK,2032.04,Medium Spender
XxDvTF9kEhgX,2032.04,Medium Spender
Xusii2nl7D62,2032.04,Medium Spender
XLBISosKibZM,2032.04,Medium Spender
U3vpYJkrEYjs,2032.04,Medium Spender
TVhM4iRxddm2,2032.04,Medium Spender
S2t8sechcimW,2032.04,Medium Spender
L3Nn4lVwV0an,2032.04,Medium Spender
JvDp7z0MY5Hh,2032.04,Medium Spender
Ip3xxVPPFikc,2032.04,Medium Spender
CNDAB0xqKD8k,2032.04,Medium Spender
A0BgCIog6WVI,2032.04,Medium Spender
77xDpuU9Uo3k,2032.04,Medium Spender
5dQt0zI3AgZu,2032.04,Medium Spender
29MG4mTLul33,2032.04,Medium Spender
evDeMTLQDn2z,2032.0,Medium Spender
UWSNYzpnWesF,2032.0,Medium Spender
RcQ4GJvmtbot,2032.0,Medium Spender
OR0JcbCyqyYP,2032.0,Medium Spender
LtHmd1Y22uL7,2032.0,Medium Spender
9jNCEvOWj8ij,2032.0,Medium Spender
8YWtMFv6STXA,2032.0,Medium Spender
2QNUFOSthtYs,2032.0,Medium Spender
dpxxHQXwwO35,2031.47,Medium Spender
bmTGn17KyY9y,2031.47,Medium Spender
V1Zpa8btlc7b,2031.47,Medium Spender
TrmM4Tx2USqN,2031.47,Medium Spender
32FmueQiqXd2,2031.47,Medium Spender
yUCxVdKqphur,2031.09,Medium Spender
x4U0MVnGUi6S,2031.09,Medium Spender
t8mmUxMvR90p,2031.09,Medium Spender
HuvEOkiPkmUA,2031.09,Medium Spender
55sniQKmYehw,2031.09,Medium Spender
1JVKlLuc7ZeH,2031.09,Medium Spender
BkFfo4YTSyFn,2029.62,Medium Spender
lX1E6Er04jIW,2028.75,Medium Spender
45S1pMgHjiEN,2028.75,Medium Spender
2YJ5V3K7pFgF,2028.65,Medium Spender
Wog155cVQhgs,2027.65,Medium Spender
5lgIbZHqj2fX,2027.26,Medium Spender
1CudNfZvhLsI,2027.26,Medium Spender
lduW7BJq5m6H,2027.16,Medium Spender
Y156eqoQiCKW,2027.16,Medium Spender
lWE2UnJbFpzj,2026.54,Medium Spender
enLG9FlRI65D,2026.54,Medium Spender
asMS7qk896g9,2026.54,Medium Spender
YkEvY59WT3xC,2026.54,Medium Spender
J9bVOdMSI4Rb,2026.54,Medium Spender
De9LTdcnlJ3u,2026.54,Medium Spender
a2MmMJ4SUAIU,2024.31,Medium Spender
IFbhYJmdPmis,2024.31,Medium Spender
FoBmGsO0GsCn,2024.31,Medium Spender
vEWT1cIcsdMJ,2023.58,Medium Spender
krQ2spokPuSx,2023.58,Medium Spender
bVNM0iRcUKME,2023.0,Medium Spender
oTcvn7O2anLk,2022.33,Medium Spender
jv3Yj726rVP4,2022.33,Medium Spender
lTM3ushHjA0m,2017.08,Medium Spender
fNx7meEu76V4,2009.62,Medium Spender
tvM2jPwJqVjs,1996.32,Medium Spender
