customer_id,total_spent
EcrgRbTf8gTE,1937.64
Ckyonflqr5dD,1937.64
5ZUJ35XVz299,1937.64
b46CiTM3qmoj,1936.99
NJsXE58ZZtuV,1936.99
KGeD6fpkohRO,1936.99
IxGGlcfRcRFn,1936.99
ELWNgd31fdPO,1936.99
4VZu2OFf45f9,1936.99
oX8gCmDTrk9H,1936.5
iuRYOTKNdmTp,1936.5
bpnzOLzNW2Pk,1936.5
adstWrY6hVZK,1936.5
9lSTm7Ovf5jI,1936.5
1WeH8SQLTiox,1936.5
INDT7sqOTddy,1936.27
lAr7GSKv4JlM,1930.34
JjuJOKGLgI8C,1930.34
FimKjLhb7Jvl,1930.34
ms6MpDsjcmQR,1927.38
mgUrF5kjSGCx,1927.38
U9Loi0ytGW3M,1927.38
xx9Y33q7TPDD,1925.81
2DglB9OuvGQM,1916.96
f0q0zRWoUjFP,1902.55
WHwV95NTtrVa,1902.55
itIQvH5swAq6,1901.62
4kfwbPZHA4b6,1898.27
wI8Ajok9khoH,1894.41
reKG6Vly2ikw,1894.41
ABxvqUFaX901,1894.41
9xIdFvN9AnoT,1894.41
5UxEPfbEebKT,1891.63
sdeQj4vNkMDo,1891.07
YX199yXMol04,1891.07
Es7DGyEnMH80,1891.07
8uTbpWB9glAF,1891.07
ZxcSPq1R3T7C,1877.84
FSbXyxxLRpSW,1877.84
steGA23nxGVo,1875.77
gbEHyGcBBWej,1875.77
LB1O2jq5k1WN,1872.26
0TMg1qkoOXsY,1872.26
jNYsvfYkq7mJ,1869.8
UgMeIrcPjXW4,1867.85
EFhbEabi0ZeZ,1866.7
498yMO27IUhM,1866.7
RhP8ryxC8gt8,1859.1
HakQHmFCIZja,1859.1
ClwCNAZaBvtW,1859.1
ObJ6jlZdPeOo,1853.75
zujXSVU1gffX,1843.85
zpP6Kolu0TnB,1843.85
zo3m4QiFLH1W,1843.85
zRZadqnQx0Bf,1843.85
yxTsylbEGHxE,1843.85
yej3juN4ys3Z,1843.85
y8fkK8Yi2yBu,1843.85
y66MWriS07bz,1843.85
y487fwTxo0PN,1843.85
xPvDxrpwHeP4,1843.85
whPbU7QjvRNm,1843.85
wgoqWyUYjyxp,1843.85
wXucZlx0lhl2,1843.85
wOJTOXAhhfuP,1843.85
vmyKveAj9gUq,1843.85
vgGpAmSpIEyA,1843.85
vJnEvJS0eJsy,1843.85
vB9KEMdRj4tN,1843.85
v6kx3LqC6Y3e,1843.85
v2HCTPn15zJ0,1843.85
ukzeWMfE8hPG,1843.85
uUHJSqNjIRHB,1843.85
u6WlXo6oT2Pz,1843.85
trpUyXy0b56D,1843.85
tXEmri3Kb9bP,1843.85
tUVwYN1stVmZ,1843.85
tNXe5PJTfgWZ,1843.85
tICYq4UPIOO5,1843.85
syE14cHfBrCp,1843.85
rsIfFP2vYCII,1843.85
rcElp4ki9A9v,1843.85
rYlouilKY1Bt,1843.85
rDXJiGJ1Us93,1843.85
r4L4mA8caG2L,1843.85
qwQP3qbbiCAm,1843.85
qu0gAhZu74vN,1843.85
pU611dEuoEsP,1843.85
pOn5DelD0orm,1843.85
pN1fsuLwGm2H,1843.85
pCVsRRNZvcjA,1843.85
p6LbeaGkcX3i,1843.85
ohhoNhUq86aT,1843.85
oCSTaPfLu0fB,1843.85
o0hmBv1U3NBK,1843.85
nrOH7xSDfHCB,1843.85
nkISYXwOMS2r,1843.85
nhNRn2ExJ7Ny,1843.85
n8BqyzA7DwrF,1843.85
mgZ2uBkEKjx6,1843.85
m07HBw3afjsh,1843.85
lvSNJ3yXK1ij,1843.85
lHTkDC7QIWbm,1843.85
l2wCGNSY1l3Z,1843.85
kdSSZgwTINOS,1843.85
jzO72fZ3NjW1,1843.85
jSLAiy0Qxiwf,1843.85
jJhkYZRF6bo6,1843.85
j33ENAgBu57e,1843.85
ivlXo1b3G7Js,1843.85
iuRH5zkdfHzQ,1843.85
ip2s02ZYlFCK,1843.85
ikc12G12oUIb,1843.85
iU3VKBsMhzzC,1843.85
iG0R5LdsLOGh,1843.85
iFBArT18Hilg,1843.85
i1yyxynMDrPH,1843.85
hU0oY7NEx7vg,1843.85
gy9qoFyngRWp,1843.85
gqTf6TLpV1ci,1843.85
gSDTWPecUdfe,1843.85
gRpeALmaRIT8,1843.85
gF9gxVEHLCUN,1843.85
gBydkUgZMDBs,1843.85
g8qeW8oiARTF,1843.85
f1XQWLihCYiF,1843.85
eyuHzfMW8NGw,1843.85
e3k4bfpSwyyi,1843.85
dindJgTCcbfr,1843.85
dVOdRO0GehIS,1843.85
dFIle6dIC7t2,1843.85
cntRcszmrKzM,1843.85
cm07Elw68ICa,1843.85
ch2eM1Ku9mSE,1843.85
cYWGWNOxQT17,1843.85
c5KCQO2QIa9N,1843.85
bOvUXBj36WC0,1843.85
bLl9gTykDUc3,1843.85
b6GUH2vesTL1,1843.85
aoZWGA71MIWd,1843.85
afQMGIxEGOV0,1843.85
ZqwPbJBZETEM,1843.85
ZmNup2FiYSLO,1843.85
ZcNNIKD7Zmp8,1843.85
ZXn5yoGIZV99,1843.85
ZPoEeEcPqADs,1843.85
ZD1vqarsXwc5,1843.85
YGMuylirnSJB,1843.85
XOBY2YOeBkMx,1843.85
Wfhdlle8ut5n,1843.85
W9dOUzdI2xV3,1843.85
W0bdlx2M3Mvp,1843.85
VRn47uwQL3se,1843.85
VBxRXDP4MeJY,1843.85
